,31m56s.png,10m04s.png,07m36s.png,38m55s.png,03m10s.png,14m04s.png,33m28s.png,06m47s.png,08m25s.png
77,27092410000.0,-0.0,13519540000.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
78,27092410000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
79,13519540000.0,-0.0,13519540000.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
80,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
81,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,40719036000.0,-0.0
82,-0.0,-0.0,-0.0,40719036000.0,-0.0,-0.0,-0.0,40719036000.0,-0.0
83,-0.0,-0.0,-0.0,54399844000.0,-0.0,-0.0,-0.0,40719036000.0,-0.0
84,-0.0,-0.0,-0.0,27092410000.0,-0.0,-0.0,-0.0,40719036000.0,-0.0
85,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,13519540000.0,27092410000.0,-0.0
86,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,27092410000.0,-0.0
87,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,40719036000.0,-0.0
88,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,27092410000.0,-0.0
89,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
90,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
91,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
92,13519540000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
93,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
94,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
95,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
96,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
97,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,54399844000.0,-0.0
98,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,81925740000.0,-0.0
99,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,54399844000.0,-0.0
100,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,40719036000.0,-0.0
101,-0.0,-0.0,-0.0,-0.0,13519540000.0,-0.0,-0.0,40719036000.0,-0.0
102,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,40719036000.0,-0.0
103,13519540000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
104,-0.0,-0.0,-0.0,-0.0,13519540000.0,-0.0,-0.0,40719036000.0,-0.0
105,-0.0,-0.0,-0.0,-0.0,40719036000.0,-0.0,-0.0,13519540000.0,-0.0
106,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0,-0.0,13519540000.0,-0.0
107,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,-0.0
108,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
109,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
110,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,68135264000.0,-0.0
111,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,68135264000.0,-0.0
112,-0.0,40719036000.0,-0.0,-0.0,-0.0,-0.0,-0.0,40719036000.0,-0.0
113,-0.0,40719036000.0,-0.0,-0.0,-0.0,-0.0,-0.0,40719036000.0,-0.0
